,index,features,rank
279,236,41_SomatomotorDorsal,279
280,183,264_Visual,280
281,283,84_DefaultMode,280
282,174,256_VentralAttention,282
283,116,203_Salience,283
284,27,123_DefaultMode,284
285,128,214_VentralAttention,285
286,111,2_unassigned,286
287,57,150_Visual,287
288,99,189_FrontoParietal,288
289,247,51_CinguloOpercular,289
290,63,156_Visual,290
291,28,124_DefaultMode,291
292,253,57_CinguloOpercular,291
293,136,221_DorsalAttention,293
294,104,193_FrontoParietal,294
295,35,130_DefaultMode,295
296,78,17_SomatomotorDorsal,296
297,163,246_Reward,297
298,287,88_DefaultMode,298
299,143,228_DorsalAttention,299
